Time (s),power (dB),amplitude (real),amplitude (imag)
-4.2499999999999996e-05,-57.13484361430295,-3.2713081468578082e-09,-2.0953294173822598e-10
-4.2479995293010116e-05,-57.37575260712623,3.1840244614952046e-09,1.6589231330086564e-10
-4.2459990586020235e-05,-57.65274211093674,-3.0832535117782487e-09,-1.7599254035652386e-10
-4.2439985879030355e-05,-57.87209970522878,3.001677295814468e-09,2.3999392248981975e-10
-4.2419981172040474e-05,-57.945320471198784,-2.966641212802159e-09,-3.39274201967161e-10
-4.2399976465050594e-05,-57.83848762854251,2.990311266909671e-09,4.42892034624588e-10
-4.237997175806072e-05,-57.59474255197301,-3.0654190107042424e-09,-5.185146896070866e-10
-4.235996705107084e-05,-57.30499407458109,3.1681050028762726e-09,5.437130070294464e-10
-4.233996234408096e-05,-57.058890861894156,-3.2666973778457845e-09,-5.13444546179918e-10
-4.231995763709108e-05,-56.914805676317854,3.3330609290064344e-09,4.410371052580848e-10
-4.22999529301012e-05,-56.89257858696078,-3.35224948897859e-09,-3.524672654333834e-10
-4.227994822311132e-05,-56.97637665876999,3.326915678199613e-09,2.7625126996068997e-10
-4.2259943516121437e-05,-57.120967518353666,-3.274983797440167e-09,-2.328722064560926e-10
-4.2239938809131556e-05,-57.26375839090176,3.2216784178074287e-09,2.277594842356835e-10
-4.2219934102141675e-05,-57.34691217651738,-3.189132292489364e-09,-2.503970851466229e-10
-4.2199929395151795e-05,-57.34428479766842,3.18766466232354e-09,2.7973243488189936e-10
-4.2179924688161914e-05,-57.2751188611457,-3.2121059218934603e-09,-2.9361762524840847e-10
-4.2159919981172034e-05,-57.19212861249832,3.2445351212943278e-09,2.784751375674158e-10
-4.213991527418216e-05,-57.15410363338833,-3.262274462786415e-09,-2.353264485510603e-10
-4.211991056719228e-05,-57.20165339598003,3.2479237073466344e-09,1.7976683992977438e-10
-4.20999058602024e-05,-57.3432529561903,-3.1974104680800173e-09,-1.3585145369295242e-10
-4.207990115321252e-05,-57.54910584551146,3.1227896333238676e-09,1.2625613978904853e-10
-4.205989644622264e-05,-57.75283851798699,-3.048555807099981e-09,-1.6256652899850634e-10
-4.203989173923276e-05,-57.86909649379993,3.0027571618169873e-09,2.395531090725539e-10
-4.201988703224288e-05,-57.83270698636599,-3.00624748463251e-09,-3.3580083687487115e-10
-4.1999882325252996e-05,-57.63964331265561,3.064195546224317e-09,4.2064307121210284e-10
-4.1979877618263116e-05,-57.35175645544487,-3.1631791058432803e-09,-4.649228240398494e-10
-4.1959872911273235e-05,-57.06072085227754,3.2751168035247514e-09,4.5159748728201666e-10
-4.1939868204283355e-05,-56.84731077056523,-3.366716782974103e-09,-3.8219735357583165e-10
-4.1919863497293474e-05,-56.76088883540112,3.4110216322755702e-09,2.766557733110176e-10
-4.18998587903036e-05,-56.81522339050099,-3.3968040657079933e-09,-1.6648741697886563e-10
