Time (s),power (dB),amplitude (real),amplitude (imag)
-4.2499999999999996e-05,-57.853135365479204,-3.892996711299036e-09,-3.6923535400280213e-10
-4.2479995293010116e-05,-57.77921648950519,3.897481299803422e-09,6.032394757117688e-10
-4.2459990586020235e-05,-57.31370258791017,-4.0943715345813206e-09,-7.417902007373142e-10
-4.2439985879030355e-05,-56.85320636313733,4.335888610894948e-09,6.715192895298209e-10
-4.2419981172040474e-05,-56.70113508680288,-4.444132012809676e-09,-4.319517205026442e-10
-4.2399976465050594e-05,-56.957712049543886,4.331214576362533e-09,1.8367833957877454e-10
-4.237997175806072e-05,-57.52186717294626,-4.061128309537041e-09,-1.0510844842732545e-10
-4.235996705107084e-05,-58.03165898463243,3.821434867348444e-09,2.6934399724766736e-10
-4.233996234408096e-05,-57.999919050992276,-3.802190364855862e-09,-5.717597702273228e-10
-4.231995763709108e-05,-57.40467160053379,4.042892061882968e-09,7.811902013449322e-10
-4.22999529301012e-05,-56.770838705840106,-4.371551782191027e-09,-7.134400251344549e-10
-4.227994822311132e-05,-56.55655603344832,4.522334050669427e-09,4.003346933132972e-10
-4.2259943516121437e-05,-56.903863181971275,-4.361175444031472e-09,-8.818255081246078e-11
-4.2239938809131556e-05,-57.61748281885605,4.017855998512673e-09,3.5519640718925304e-11
-4.2219934102141675e-05,-58.11558278142115,-3.783589914341914e-09,-2.8192343985872046e-10
-4.2199929395151795e-05,-57.870182600851024,3.8550596960379195e-09,6.085772241890428e-10
-4.2179924688161914e-05,-57.177008925847645,-4.162924703637721e-09,-7.333594077447789e-10
-4.2159919981172034e-05,-56.67824961413194,4.442173003299924e-09,5.561716299030734e-10
-4.213991527418216e-05,-56.68567860018001,-4.467060368857626e-09,-2.3096506396346586e-10
-4.211991056719228e-05,-57.16939126243358,4.230693272117411e-09,1.899118096728392e-11
-4.20999058602024e-05,-57.8124446586333,-3.928119044552116e-09,-7.474306326793636e-11
-4.207990115321252e-05,-58.089383983162406,3.7900489732474514e-09,3.4301994661880056e-10
-4.205989644622264e-05,-57.731950758675936,-3.9168442373756774e-09,-6.187053638561068e-10
-4.203989173923276e-05,-57.074678232860805,4.220118798889869e-09,6.959625834563532e-10
-4.201988703224288e-05,-56.60683794982779,-4.485493980820851e-09,-5.048299098944432e-10
-4.1999882325252996e-05,-56.60348150638785,4.512562905466669e-09,1.6443245812358728e-10
-4.1979877618263116e-05,-57.108170488708566,-4.259857637843183e-09,8.272134441998184e-11
-4.1959872911273235e-05,-57.87709838650369,3.899503656025906e-09,-3.855586351960199e-11
-4.1939868204283355e-05,-58.281953404461376,-3.711330597463028e-09,-2.8291167800726994e-10
-4.1919863497293474e-05,-57.84436017242763,3.862440279277141e-09,6.358006175264245e-10
-4.18998587903036e-05,-57.00840877649193,-4.248267383288984e-09,-7.261391049819864e-10
